Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1747498226,100,,Aggregated,44.100000,0.000000,130,140,390,400,410,450,640,710,910,1500,1500,5249,1,130.0,216.186980075062,128.41876799984675,1455.1280240002598,17002.69670413412
1747498227,100,,Aggregated,38.700000,0.100000,130,140,390,400,410,530,700,910,3100,4100,4100,5298,1,130.0,236.29158100792736,128.41876799984675,4136.1433460001535,16846.918271045677
1747498228,100,,Aggregated,34.600000,0.100000,130,140,390,400,410,560,800,3100,4100,4100,4100,5347,1,130.0,260.22892873050256,128.41876799984675,4139.162400999794,16695.115017766973
1747498229,100,,Aggregated,31.200000,0.100000,130,140,390,400,410,550,800,3100,4100,4100,4100,5380,1,130.0,259.44080959925617,128.41876799984675,4139.162400999794,16595.26654275093
1747498230,100,,Aggregated,33.900000,0.100000,130,140,390,400,410,560,830,3100,4100,6100,6100,5424,1,130.0,261.9097802735988,128.41876799984675,6134.07672600033,16465.056600294985
1747498231,100,,Aggregated,32.100000,0.100000,130,140,390,400,410,560,900,3100,4100,7100,7100,5462,1,130.0,262.47757265470506,128.41876799984675,7135.974102000091,16353.740571219334
1747498232,100,,Aggregated,31.500000,0.100000,130,140,390,400,410,560,900,3100,4100,8100,8100,5512,1,130.0,263.1109942721331,128.41876799984675,8136.604567000177,16210.44267053701
1747498233,100,,Aggregated,32.400000,0.100000,130,140,390,400,410,560,910,3100,4100,8100,8100,5555,1,130.0,264.79873982808243,128.41876799984675,8136.604567000177,16089.50801080108
1747498234,100,,Aggregated,31.800000,0.100000,130,140,390,400,410,560,910,3100,6100,10000,10000,5603,1,130.0,267.955135477065,128.41876799984675,10141.419929999756,15958.534178118865
1747498235,100,,Aggregated,31.800000,0.100000,130,140,390,400,410,560,910,3100,6100,10000,10000,5647,1,130.0,266.89735265574546,128.41876799984675,10141.419929999756,15839.764299628121
1747498236,100,,Aggregated,32.500000,0.000000,130,140,390,400,410,550,910,3100,6100,10000,10000,5691,1,130.0,265.8581324575636,128.41876799984675,10141.419929999756,15723.76102618169
1747498237,100,,Aggregated,36.300000,0.000000,130,140,390,400,410,550,910,3100,6100,10000,10000,5742,1,130.0,264.6748797410301,128.41876799984675,10141.419929999756,15594.901776384535
1747498238,100,,Aggregated,41.600000,0.000000,130,140,390,400,410,550,910,3100,6100,10000,10000,5789,1,130.0,263.597983442217,128.41876799984675,10141.419929999756,15475.642770772154
1747498239,100,,Aggregated,45.300000,0.000000,130,140,390,400,410,540,900,3100,6100,10000,10000,5834,1,130.0,262.5853914103522,128.41876799984675,10141.419929999756,15369.269969146384
1747498240,100,,Aggregated,43.500000,0.000000,130,140,390,400,410,540,900,3100,6100,10000,10000,5881,1,130.0,261.5447730268655,128.41876799984675,10141.419929999756,15256.985206597517
1747498241,100,,Aggregated,45.600000,0.000000,130,140,320,400,410,540,900,3100,6100,10000,10000,5924,1,130.0,260.61034839888526,128.41876799984675,10141.419929999756,15157.239871708305
1747498242,100,,Aggregated,45.400000,0.000000,130,140,280,400,410,530,830,3100,6100,10000,10000,5970,1,130.0,259.6227549417081,128.41876799984675,10141.419929999756,15052.787437185929
1747498243,100,,Aggregated,45.900000,0.000000,130,140,240,400,410,530,820,3100,6100,10000,10000,6024,1,130.0,258.48115473323367,128.41876799984675,10141.419929999756,14930.142430278884
1747498244,100,,Aggregated,45.600000,0.000000,130,140,220,400,410,530,800,3100,6100,10000,10000,6071,1,130.0,257.50305186970877,128.41876799984675,10141.419929999756,14828.241805303904
1747498245,100,,Aggregated,46.200000,0.000000,130,140,200,400,410,530,800,3100,6100,10000,10000,6114,1,130.0,256.6227153040568,128.41876799984675,10141.419929999756,14737.052175335297
1747498246,100,,Aggregated,47.000000,0.000000,130,140,170,400,410,530,790,3100,6100,10000,10000,6163,1,130.0,255.63445325653132,128.41876799984675,10141.419929999756,14635.994807723511
1747498247,100,,Aggregated,47.500000,0.000000,130,140,160,400,410,530,780,3100,6100,10000,10000,6208,1,130.0,254.7617131852456,128.41876799984675,10141.419929999756,14546.318782216495
1747498248,100,,Aggregated,47.100000,0.000000,130,140,160,400,410,530,780,3100,6100,10000,10000,6257,1,130.0,253.83207017804125,128.41876799984675,10141.419929999756,14458.039156145118
1747498249,100,,Aggregated,47.300000,0.000000,130,140,150,400,410,530,780,3100,6100,10000,10000,6301,1,130.0,253.0053576911608,128.41876799984675,10141.419929999756,14373.15838755753
1747498250,100,,Aggregated,46.600000,0.000000,130,140,150,400,410,530,780,3100,6100,10000,10000,6352,1,130.0,252.0335202740877,128.41876799984675,10141.419929999756,14271.87484256927
1747498251,100,,Aggregated,46.300000,0.000000,130,140,150,400,410,530,780,3100,6100,10000,10000,6386,1,130.0,251.39759437378726,128.41876799984675,10141.419929999756,14206.110867522706
1747498252,100,,Aggregated,46.400000,0.000000,130,140,150,400,410,530,780,3100,6100,10000,10000,6442,1,130.0,250.3684401058686,128.41876799984675,10141.419929999756,14104.383886991618
